t,q,p
1.860000000000000142e+01,4.924005454346738059e-02,2.868282150620283036e-02
1.869999999999999929e+01,5.182176000675291910e-02,2.292786266685689633e-02
1.880000000000000071e+01,5.382223620072976861e-02,1.707117892870831100e-02
1.890000000000000213e+01,5.523518636253760272e-02,1.119016186979491546e-02
1.900000000000000000e+01,5.606199032250682585e-02,5.360696911550402732e-03
1.910000000000000142e+01,5.631147865193891766e-02,-3.443273885676702934e-04
1.920000000000000284e+01,5.599956281185632795e-02,-5.856400165111849861e-03
1.930000000000000071e+01,5.514873471706484981e-02,-1.111261186456663670e-02
1.940000000000000213e+01,5.378745345562171293e-02,-1.605668172381038636e-02
1.950000000000000000e+01,5.194944032408090051e-02,-2.063976041896340569e-02
1.960000000000000142e+01,4.967290558021132674e-02,-2.482099064041653341e-02
1.970000000000000284e+01,4.699973156098735672e-02,-2.856782001516115430e-02
1.980000000000000071e+01,4.397463664614893741e-02,-3.185607216574299488e-02
1.990000000000000213e+01,4.064434363875798345e-02,-3.466979182540361887e-02
