t,commutator_norm
2.040000000000000213e+01,6.285696749147861055e-04
2.050000000000000000e+01,2.741403421099477232e-03
2.060000000000000142e+01,4.826845970488175680e-03
2.070000000000000284e+01,6.864060270482613690e-03
2.080000000000000071e+01,8.832691149211093287e-03
2.090000000000000213e+01,1.071306869767641931e-02
2.100000000000000000e+01,1.248640480498404946e-02
2.110000000000000142e+01,1.413498088293688691e-02
2.120000000000000284e+01,1.564232490431107653e-02
2.130000000000000071e+01,1.699337598590648646e-02
2.140000000000000213e+01,1.817463487191382787e-02
2.150000000000000000e+01,1.917429881401670061e-02
2.160000000000000142e+01,1.998237950055036308e-02
2.170000000000000284e+01,2.059080285641116601e-02
2.180000000000000071e+01,2.099348971654491428e-02
2.190000000000000213e+01,2.118641656695625930e-02
2.200000000000000000e+01,2.116765574632868685e-02
2.210000000000000142e+01,2.093739470658045540e-02
2.220000000000000284e+01,2.049793413990663726e-02
2.230000000000000071e+01,1.985366499102309348e-02
2.240000000000000213e+01,1.901102458429827433e-02
2.250000000000000000e+01,1.797843230413635057e-02
2.260000000000000142e+01,1.676620547127122621e-02
2.270000000000000284e+01,1.538645625550770675e-02
2.280000000000000071e+01,1.385297065492546893e-02
2.290000000000000213e+01,1.218107075074241485e-02
2.300000000000000000e+01,1.038746161414469057e-02
2.310000000000000142e+01,8.490064394736655112e-03
2.320000000000000284e+01,6.507837258338560436e-03
2.330000000000000071e+01,4.460585963260261036e-03
2.340000000000000213e+01,2.368765967710587984e-03
2.350000000000000000e+01,2.532780456216298022e-04
2.360000000000000142e+01,1.864740546976766762e-03
2.370000000000000284e+01,3.964127268430923771e-03
2.380000000000000071e+01,6.023905740585196872e-03
2.390000000000000213e+01,8.023495337818082815e-03
2.400000000000000000e+01,9.942916821850332140e-03
2.410000000000000142e+01,1.176299196769008300e-02
2.420000000000000284e+01,1.346553518611678588e-02
2.430000000000000071e+01,1.503353522807795127e-02
2.440000000000000213e+01,1.645132515546630925e-02
2.450000000000000000e+01,1.770473887998617185e-02
2.460000000000000142e+01,1.878125270602586799e-02
2.470000000000000284e+01,1.967011046328373883e-02
2.480000000000000071e+01,2.036243097886645398e-02
2.490000000000000213e+01,2.085129681503311919e-02
2.500000000000000000e+01,2.113182338594637652e-02
2.510000000000000142e+01,2.120120776283929490e-02
2.520000000000000284e+01,2.105875667995348033e-02
2.530000000000000071e+01,2.070589346142109877e-02
2.540000000000000213e+01,2.014614379988048307e-02
2.550000000000000000e+01,1.938510052892130839e-02
2.560000000000000142e+01,1.843036774133928121e-02
2.570000000000000284e+01,1.729148481155549227e-02
2.580000000000000071e+01,1.597983108133955304e-02
2.590000000000000213e+01,1.450851216118879440e-02
2.600000000000000000e+01,1.289222898339992089e-02
2.610000000000000142e+01,1.114713091521314127e-02
2.620000000000000284e+01,9.290654399673118138e-03
2.630000000000000071e+01,7.341348736453714996e-03
2.640000000000000213e+01,5.318690743386872075e-03
2.650000000000000000e+01,3.242890150537544244e-03
2.660000000000000142e+01,1.134687671260961421e-03
2.670000000000000284e+01,9.848522321490268180e-04
2.680000000000000071e+01,3.094551817604168469e-03
2.690000000000000213e+01,5.173331664220560261e-03
2.700000000000000000e+01,7.200421290924284914e-03
2.710000000000000142e+01,9.155566688231957934e-03
2.720000000000000284e+01,1.101923268961883286e-02
2.730000000000000071e+01,1.277279816044486760e-02
2.740000000000000213e+01,1.439874205417759553e-02
2.750000000000000000e+01,1.588081847689621143e-02
2.760000000000000142e+01,1.720421901089437197e-02
2.770000000000000284e+01,1.835572067549455511e-02
2.780000000000000071e+01,1.932381804669955350e-02
2.790000000000000213e+01,2.009883821558695188e-02
2.800000000000000000e+01,2.067303743681680669e-02
