t,q,p,E
1.550000000000000000e+01,-4.436499408763575625e-01,-1.039712459913053055e-01,1.038176450162900527e-01
1.560000000000000142e+01,-4.517689857316168345e-01,-5.835037139013322244e-02,1.037499911551701542e-01
1.570000000000000107e+01,-4.553158129517640429e-01,-1.260331985262801852e-02,1.037356665976167103e-01
1.580000000000000071e+01,-4.543006547412162255e-01,3.281384157882061281e-02,1.037329165487288346e-01
1.590000000000000036e+01,-4.487789961918331461e-01,7.745286351836605521e-02,1.037007667450720177e-01
1.600000000000000000e+01,-4.388505733817224530e-01,1.208776929104919962e-01,1.036006212004148830e-01
1.610000000000000142e+01,-4.246579415096500276e-01,1.626686868471574898e-01,1.033977344838959561e-01
1.619999999999999929e+01,-4.063846315665448627e-01,2.024266213349819044e-01,1.030625028992862846e-01
1.630000000000000071e+01,-3.842529179858344968e-01,2.397764571444920834e-01,1.025715271906964543e-01
1.640000000000000213e+01,-3.585212233039103968e-01,2.743708277791268579e-01,1.019084093477678338e-01
1.650000000000000000e+01,-3.294811892675456599e-01,3.058932176000478398e-01,1.010642573274332379e-01
1.660000000000000142e+01,-2.974544468795682350e-01,3.340608015787359109e-01,1.000378835599287225e-01
1.669999999999999929e+01,-2.627891203081237359e-01,3.586269219439500167e-01,9.883569544765477555e-02
1.680000000000000071e+01,-2.258561023235567122e-01,3.793831805024305837e-01,9.747128830246436226e-02
1.690000000000000213e+01,-1.870451403762895815e-01,3.961611298336721321e-01,9.596476266473874528e-02
1.700000000000000000e+01,-1.467607741330362037e-01,4.088335504670941312e-01,9.434179840582904153e-02
1.710000000000000142e+01,-1.054181664308275757e-01,4.173153054458191291e-01,9.263252698648749561e-02
1.719999999999999929e+01,-6.343887008105093817e-02,4.215637680226217987e-01,9.087025037329567179e-02
1.730000000000000071e+01,-2.124657325409265787e-02,4.215788224677198270e-01,8.909006021415537269e-02
1.740000000000000213e+01,2.073713403097178498e-02,4.174024422255319111e-01,8.732741375182850874e-02
1.750000000000000000e+01,6.209693040826533977e-02,4.091178538277120413e-01,8.561672354336105628e-02
1.760000000000000142e+01,1.024278298771212486e-01,3.968482989893193369e-01,8.399001637202635484e-02
1.769999999999999929e+01,1.413391052812104087e-01,3.807554111971181432e-01,8.247571291878980082e-02
1.780000000000000071e+01,1.784580309964518829e-01,3.610372267622919962e-01,8.109757396766861803e-02
1.790000000000000213e+01,2.134334093974505631e-01,3.379258537572762400e-01,7.987385144230189915e-02
1.800000000000000000e+01,2.459388482107955076e-01,3.116848254132476015e-01,7.881667372606968036e-02
1.810000000000000142e+01,2.756757586719451592e-01,2.826061673973448984e-01,7.793168488518434356e-02
1.819999999999999929e+01,3.023760473895715228e-01,2.510072110358779751e-01,7.721794701347509116e-02
1.830000000000000071e+01,3.258044782515610582e-01,2.172271866778430760e-01,7.666810434037120425e-02
1.840000000000000213e+01,3.457606842100537370e-01,1.816236331615446176e-01,7.626879743410192036e-02
1.850000000000000000e+01,3.620808123329221084e-01,1.445686610552538442e-01,7.600130620948881977e-02
1.860000000000000142e+01,3.746387894866762269e-01,1.064451082038356672e-01,7.584239182428420545e-02
1.869999999999999929e+01,3.833471998320928109e-01,6.764262684429990513e-02,7.576530029275185818e-02
1.880000000000000071e+01,3.881577692524118550e-01,2.855374193356842102e-02,7.574088500470871343e-02
1.890000000000000213e+01,3.890614558224596564e-01,-1.043007986824994945e-02,7.573880148637489318e-02
1.900000000000000000e+01,3.860881493348568005e-01,-4.892231158992357831e-02,7.572872581405813708e-02
1.910000000000000142e+01,3.793059867624677950e-01,-8.654515959256479929e-02,7.568154812137595222e-02
1.920000000000000284e+01,3.688202942842545018e-01,-1.229332326523073365e-01,7.557049458313520873e-02
1.930000000000000071e+01,3.547721701065547073e-01,-1.577370512283978177e-01,7.537213500617219453e-02
1.940000000000000213e+01,3.373367257451730938e-01,-1.906263636230053071e-01,7.506723852230218208e-02
1.950000000000000000e+01,3.167210066428956527e-01,-2.212932379907064373e-01,7.464144661465028918e-02
1.960000000000000142e+01,2.931616160042139207e-01,-2.494549016632745253e-01,7.408574053101807388e-02
1.970000000000000284e+01,2.669220684379355890e-01,-2.748563020856558126e-01,7.339668870769362752e-02
1.980000000000000071e+01,2.382899022931712352e-01,-2.972723667471934839e-01,7.257646878318349537e-02
1.990000000000000213e+01,2.075735820066352821e-01,-3.165099424669968742e-01,7.163266781376351200e-02
2.000000000000000000e+01,1.750992231559815315e-01,-3.324093981190063829e-01,7.057787295383415038e-02
2.010000000000000142e+01,1.412071745939009471e-01,-3.448458781218785019e-01,6.942907290722094560e-02
2.020000000000000284e+01,1.062484931546352485e-01,-3.537301977007105691e-01,6.820689753150718793e-02
2.030000000000000071e+01,7.058134693300542606e-02,-3.590093746271988961e-01,6.693472880254486279e-02
2.040000000000000213e+01,3.456738366009557556e-02,-3.606667957411477943e-01,6.563772078164553658e-02
2.050000000000000000e+01,-1.431899372949312424e-03,-3.587220202382147005e-01,6.434176906980017263e-02
2.060000000000000142e+01,-3.705874778849354428e-02,-3.532302252923466002e-01,6.307247142386655792e-02
2.070000000000000284e+01,-7.196266961850854293e-02,-3.442813030878161817e-01,6.185412073723367543e-02
2.080000000000000071e+01,-1.058038475998423905e-01,-3.319986217000978068e-01,6.070876948884765950e-02
2.090000000000000213e+01,-1.382564113698994124e-01,-3.165374654994929093e-01,5.965540117486275995e-02
2.100000000000000000e+01,-1.690115384655704323e-01,-2.980831737567373740e-01,5.870923930569413307e-02
2.110000000000000142e+01,-1.977803549678207318e-01,-2.768489989707575982e-01,5.788121852115385435e-02
2.120000000000000284e+01,-2.242966089626478865e-01,-2.530737089907895143e-01,5.717763548724889844e-02
2.130000000000000071e+01,-2.483190924705935554e-01,-2.270189593582427612e-01,5.659998979675933545e-02
2.140000000000000213e+01,-2.696337903408979608e-01,-1.989664642021116425e-01,5.614501738534474762e-02
2.150000000000000000e+01,-2.880557373897192908e-01,-1.692149958702149071e-01,5.580491133524588532e-02
2.160000000000000142e+01,-3.034305682274560656e-01,-1.380772448815826559e-01,5.556771764446270800e-02
2.170000000000000284e+01,-3.156357474865209567e-01,-1.058765726786338041e-01,5.541788686677442261e-02
2.180000000000000071e+01,-3.245814713343487812e-01,-7.294369063232203354e-02,5.533695676831729138e-02
2.190000000000000213e+01,-3.302112346061984449e-01,-3.961329902188649721e-02,5.530433645977361062e-02
2.200000000000000000e+01,-3.325020612457310065e-01,-6.220719791042605973e-03,5.529815904368926699e-02
2.210000000000000142e+01,-3.314643991103061738e-01,2.690144335616033097e-02,5.529616776610052353e-02
2.220000000000000284e+01,-3.271416835252043409e-01,5.942658462883560616e-02,5.527660003017655782e-02
2.230000000000000071e+01,-3.196095772275920899e-01,9.103728352737272544e-02,5.521903442382170013e-02
2.240000000000000213e+01,-3.089748974633094725e-01,1.214283692220939626e-01,5.510516805719989364e-02
2.250000000000000000e+01,-2.953742440338724129e-01,1.503098326251030015e-01,5.491949491118404414e-02
2.260000000000000142e+01,-2.789723448964647190e-01,1.774095587650618699e-01,5.464986037912300532e-02
2.270000000000000284e+01,-2.599601385877287618e-01,2.024758540658021799e-01,5.428787256711357923e-02
2.280000000000000071e+01,-2.385526151058029176e-01,2.252797454855640369e-01,5.382915694992893019e-02
2.290000000000000213e+01,-2.149864392299512261e-01,2.456170308233486255e-01,5.327344744162565426e-02
2.300000000000000000e+01,-1.895173819477728450e-01,2.633100624222248221e-01,5.262451351656697446e-02
2.310000000000000142e+01,-1.624175874681509091e-01,2.782092491075666141e-01,5.188992950398525067e-02
2.320000000000000284e+01,-1.339727047366972013e-01,2.901942642103290670e-01,5.108069829752025920e-02
2.330000000000000071e+01,-1.044789131385449321e-01,2.991749506742192866e-01,5.021074720076657699e-02
2.340000000000000213e+01,-7.423987314336646937e-02,3.050919171873552327e-01,4.929631834869958179e-02
2.350000000000000000e+01,-4.356363292073304333e-02,3.079168225180227147e-01,4.835527985142393931e-02
2.360000000000000142e+01,-1.275952209678471450e-02,3.076523483267377124e-01,4.740638641754734567e-02
2.370000000000000284e+01,1.786493630570450478e-02,3.043318638233545870e-01,4.646851964370186244e-02
2.380000000000000071e+01,4.800706525276903641e-02,2.980187886674355857e-01,4.555993835649463364e-02
2.390000000000000213e+01,7.737199465775768115e-02,2.888056634513690990e-01,4.469756839945277643e-02
2.400000000000000000e+01,1.056755152608146037e-01,2.768129399158455461e-01,4.389635911524608636e-02
2.410000000000000142e+01,1.326467981314099764e-01,2.621875057097192152e-01,4.316873060239953541e-02
2.420000000000000284e+01,1.580309540708710325e-01,2.451009610149589846e-01,4.252413176750309554e-02
2.430000000000000071e+01,1.815914090919863444e-01,2.257476666233916573e-01,4.196872442095955780e-02
2.440000000000000213e+01,2.031120741808434549e-01,2.043425851369244928e-01,4.150520338924284375e-02
2.450000000000000000e+01,2.223992897683577386e-01,1.811189388779300136e-01,4.113275705486865025e-02
2.460000000000000142e+01,2.392835279174117535e-01,1.563257095146224629e-01,4.084716709392644668e-02
2.470000000000000284e+01,2.536208376371366091e-01,1.302250058888534123e-01,4.064104072125735573e-02
2.480000000000000071e+01,2.652940215125260126e-01,1.030893275832125838e-01,4.050416365592376944e-02
2.490000000000000213e+01,2.742135346774456361e-01,7.519875235184736439e-02,4.042395747778657067e-02
2.500000000000000000e+01,2.803180999090116310e-01,4.683807621849869068e-02,4.038602126022425992e-02
2.510000000000000142e+01,2.835750355691808444e-01,1.829393512219193788e-02,4.037473443015857089e-02
2.520000000000000284e+01,2.839802959911704727e-01,-1.014806307982703271e-02,4.037389584775247231e-02
2.530000000000000071e+01,2.815582267677988471e-01,-3.820616787554500376e-02,4.036737316218078075e-02
2.540000000000000213e+01,2.763610402146474132e-01,-6.560524883219696901e-02,4.033973661142822159e-02
2.550000000000000000e+01,2.684680190006339395e-01,-9.207946504924618969e-02,4.027685255494004718e-02
2.560000000000000142e+01,2.579844585761327247e-01,-1.173748156783364638e-01,4.016641411117190252e-02
2.570000000000000284e+01,2.450403615063055096e-01,-1.412515473585568837e-01,3.999838919916376412e-02
2.580000000000000071e+01,2.297888991674155446e-01,-1.634863960443802278e-01,3.976536993607630854e-02
2.590000000000000213e+01,2.124046583948820122e-01,-1.838746426099485409e-01,3.946281155139141211e-02
2.600000000000000000e+01,1.930816926649943366e-01,-2.022319636172144885e-01,3.908915357542684654e-02
2.610000000000000142e+01,1.720313991835141776e-01,-2.183960608694287819e-01,3.864582085416042034e-02
2.620000000000000284e+01,1.494802445684668413e-01,-2.322280558466673916e-01,3.813710671928576684e-02
2.630000000000000071e+01,1.256673634494519798e-01,-2.436136373559351087e-01,3.756994527106286008e-02
2.640000000000000213e+01,1.008420549614084255e-01,-2.524639535628042664e-01,3.695358394870074809e-02
