t,q,p,E
3.700000000000000178e+00,-8.481000317104080422e-01,5.298361409084934026e-01,5.000000000000000000e-01
3.800000000000000266e+00,-7.909677119144165047e-01,6.118578909427192514e-01,4.999999999999999445e-01
3.900000000000000355e+00,-7.259323042001398774e-01,6.877661591839741018e-01,5.000000000000000000e-01
4.000000000000000000e+00,-6.536436208636119405e-01,7.568024953079282025e-01,5.000000000000000000e-01
4.100000000000000533e+00,-5.748239465332685150e-01,8.182771110644108115e-01,5.000000000000000000e-01
4.200000000000000178e+00,-4.902608213406994264e-01,8.715757724135881901e-01,5.000000000000000000e-01
4.299999999999999822e+00,-4.007991720799754520e-01,9.161659367494549011e-01,5.000000000000000000e-01
4.400000000000000355e+00,-3.073328699784193541e-01,9.516020738895160092e-01,4.999999999999999445e-01
4.500000000000000000e+00,-2.107957994307796956e-01,9.775301176650970092e-01,4.999999999999999445e-01
4.600000000000000533e+00,-1.121525269350539811e-01,9.936910036334645202e-01,5.000000000000000000e-01
4.700000000000000178e+00,-1.238866346289056036e-02,9.999232575641008314e-01,4.999999999999999445e-01
4.800000000000000711e+00,8.749898343944727264e-02,9.961646088358405704e-01,4.999999999999999445e-01
4.900000000000000355e+00,1.865123694225757633e-01,9.824526126243324775e-01,5.000000000000000000e-01
5.000000000000000000e+00,2.836621854632262463e-01,9.589242746631384540e-01,4.999999999999999445e-01
5.100000000000000533e+00,3.779777427129810685e-01,9.258146823277321191e-01,5.000000000000000000e-01
5.200000000000000178e+00,4.685166713003771077e-01,8.834546557201531369e-01,4.999999999999999445e-01
5.300000000000000711e+00,5.543743361791615420e-01,8.322674422239008107e-01,5.000000000000000000e-01
5.400000000000000355e+00,6.346928759426346822e-01,7.727644875559871451e-01,5.000000000000000000e-01
5.500000000000000000e+00,7.086697742912599907e-01,7.055403255703919241e-01,5.000000000000000000e-01
5.600000000000000533e+00,7.755658785102501618e-01,6.312666378723208460e-01,5.000000000000000000e-01
5.700000000000000178e+00,8.347127848391597826e-01,5.506855425976375784e-01,5.000000000000000000e-01
5.800000000000000711e+00,8.855195169413193623e-01,4.646021794137565886e-01,5.000000000000000000e-01
5.900000000000000355e+00,9.274784307440359088e-01,3.738766648302360163e-01,5.000000000000000000e-01
6.000000000000000000e+00,9.601702866503659672e-01,2.794154981989258602e-01,4.999999999999999445e-01
6.100000000000000533e+00,9.832684384425847135e-01,1.821625042720950161e-01,5.000000000000000000e-01
6.200000000000000178e+00,9.965420970232174991e-01,8.308940281749639667e-02,5.000000000000000000e-01
6.300000000000000711e+00,9.998586363834151003e-01,-1.681390048435060097e-02,4.999999999999999445e-01
6.400000000000000355e+00,9.931849187581925920e-01,-1.165492048504936373e-01,5.000000000000000000e-01
6.500000000000000000e+00,9.765876257280234896e-01,-2.151199880878155168e-01,4.999999999999999445e-01
6.600000000000000533e+00,9.502325919585292713e-01,-3.115413635133786885e-01,4.999999999999999445e-01
6.700000000000000178e+00,9.143831482353194096e-01,-4.048499206165983022e-01,5.000000000000000000e-01
6.800000000000000711e+00,8.693974903498248308e-01,-4.941133511386089361e-01,5.000000000000000000e-01
6.900000000000000355e+00,8.157251001253568168e-01,-5.784397643882001061e-01,4.999999999999998890e-01
7.000000000000000000e+00,7.539022543433046009e-01,-6.569865987187890610e-01,4.999999999999999445e-01
7.100000000000000533e+00,6.845466664428059289e-01,-7.289690401258764885e-01,5.000000000000000000e-01
7.200000000000000178e+00,6.083513145322545501e-01,-7.936678638491531101e-01,4.999999999999999445e-01
7.300000000000000711e+00,5.260775173811045313e-01,-8.504366206285648433e-01,4.999999999999998890e-01
7.400000000000000355e+00,4.385473275743903554e-01,-8.987080958116269169e-01,5.000000000000000000e-01
7.500000000000000000e+00,3.466353178350258246e-01,-9.379999767747388972e-01,5.000000000000000000e-01
7.600000000000000533e+00,2.512598425822548664e-01,-9.679196720314865443e-01,5.000000000000000000e-01
7.700000000000000178e+00,1.533738620378643502e-01,-9.881682338770003682e-01,5.000000000000000000e-01
7.800000000000000711e+00,5.395542056264886199e-02,-9.985433453746049848e-01,4.999999999999999445e-01
7.900000000000000355e+00,-4.600212563953694905e-02,-9.989413418397720124e-01,5.000000000000000000e-01
8.000000000000000000e+00,-1.455000338086135381e-01,-9.893582466233817874e-01,5.000000000000000000e-01
8.099999999999999645e+00,-2.435441537357911079e-01,-9.698898108450862976e-01,5.000000000000000000e-01
8.200000000000001066e+00,-3.391548609838362371e-01,-9.407305566797725671e-01,5.000000000000000000e-01
8.300000000000000711e+00,-4.313768449706207875e-01,-9.021718337562932843e-01,5.000000000000000000e-01
8.400000000000000355e+00,-5.192886541166855663e-01,-8.545989080882804290e-01,4.999999999999999445e-01
8.500000000000000000e+00,-6.020119026848236299e-01,-7.984871126234902583e-01,5.000000000000000000e-01
8.599999999999999645e+00,-6.787200473200124540e-01,-7.343970978741133360e-01,5.000000000000000000e-01
8.700000000000001066e+00,-7.486466455973999068e-01,-6.629692300821820039e-01,5.000000000000000000e-01
8.800000000000000711e+00,-8.110930140616560147e-01,-5.849171928917616947e-01,5.000000000000000000e-01
8.900000000000000355e+00,-8.654352092411122799e-01,-5.010208564578846335e-01,5.000000000000000000e-01
9.000000000000000000e+00,-9.111302618846769397e-01,-4.121184852417565936e-01,4.999999999999999445e-01
9.099999999999999645e+00,-9.477216021311118954e-01,-3.190983623493521271e-01,5.000000000000000000e-01
9.200000000000001066e+00,-9.748436214041640291e-01,-2.228899141002459172e-01,5.000000000000000000e-01
9.300000000000000711e+00,-9.922253254526034461e-01,-1.244544235070617066e-01,4.999999999999999445e-01
9.400000000000000355e+00,-9.996930420352064806e-01,-2.477542545335776475e-02,5.000000000000000000e-01
9.500000000000000000e+00,-9.971721561963784453e-01,7.515112046180930094e-02,5.000000000000000000e-01
9.600000000000001421e+00,-9.846878557941266541e-01,1.743267812229813973e-01,5.000000000000000000e-01
9.700000000000001066e+00,-9.623648798313096941e-01,2.717606264109441727e-01,4.999999999999999445e-01
9.800000000000000711e+00,-9.304262721047532603e-01,3.664791292519283816e-01,5.000000000000000000e-01
9.900000000000000355e+00,-8.891911526253608589e-01,4.575358937753213340e-01,5.000000000000000000e-01
1.000000000000000000e+01,-8.390715290764524381e-01,5.440211108893697745e-01,5.000000000000000000e-01
1.010000000000000142e+01,-7.805681801691826127e-01,6.250706488928834403e-01,4.999999999999999445e-01
1.020000000000000107e+01,-7.142656520271989384e-01,6.998746875935436540e-01,5.000000000000000000e-01
1.030000000000000071e+01,-6.408264175949932584e-01,7.676858097635824718e-01,5.000000000000000000e-01
1.040000000000000036e+01,-5.609842574272287941e-01,8.278264690856537156e-01,5.000000000000000000e-01
1.050000000000000000e+01,-4.755369279959925088e-01,8.796957599716700438e-01,4.999999999999999445e-01
1.060000000000000142e+01,-3.853381907718280153e-01,9.227754216128073450e-01,5.000000000000000000e-01
1.070000000000000107e+01,-2.912892817213438290e-01,9.566350162701884319e-01,5.000000000000001110e-01
1.080000000000000071e+01,-1.943299064553347943e-01,9.809362300664915546e-01,5.000000000000000000e-01
1.090000000000000036e+01,-9.542885100095065132e-02,9.954362533063774165e-01,5.000000000000000000e-01
1.100000000000000000e+01,4.425697988050785424e-03,9.999902065507034754e-01,5.000000000000000000e-01
1.110000000000000142e+01,1.042360268656986472e-01,9.945525882039890631e-01,5.000000000000001110e-01
1.120000000000000107e+01,2.030048638187521293e-01,9.791777291513169557e-01,4.999999999999999445e-01
1.130000000000000071e+01,2.997453432770149084e-01,9.540192499020889727e-01,5.000000000000000000e-01
1.140000000000000036e+01,3.934908663478908775e-01,9.193285256646757109e-01,5.000000000000000000e-01
1.150000000000000000e+01,4.833047587530058808e-01,8.754521746884285083e-01,5.000000000000000000e-01
1.160000000000000142e+01,5.682896297679750353e-01,8.228285949687078604e-01,5.000000000000000000e-01
1.170000000000000107e+01,6.475963386538773348e-01,7.619835839190320925e-01,5.000000000000000000e-01
1.180000000000000071e+01,7.204324789908387316e-01,6.935250847771223803e-01,5.000000000000000000e-01
1.190000000000000036e+01,7.860702961410392930e-01,6.181371122370332705e-01,4.999999999999999445e-01
1.200000000000000000e+01,8.438539587324921376e-01,5.365729180004349397e-01,5.000000000000000000e-01
1.210000000000000142e+01,8.932061115093232750e-01,4.496474645345998611e-01,4.999999999999999445e-01
1.220000000000000107e+01,9.336336440746378917e-01,3.582292822368270402e-01,5.000000000000000000e-01
1.230000000000000071e+01,9.647326178866098001e-01,2.632317913658009378e-01,5.000000000000000000e-01
1.240000000000000036e+01,9.861923022788636750e-01,1.656041754483094097e-01,5.000000000000000000e-01
1.250000000000000000e+01,9.977982791785806604e-01,6.632189735120068430e-02,4.999999999999999445e-01
1.260000000000000142e+01,9.994345855010047242e-01,-3.362304722113847177e-02,5.000000000000000000e-01
1.270000000000000107e+01,9.910848718142529767e-01,-1.332320414199439640e-01,4.999999999999999445e-01
1.280000000000000071e+01,9.728325656974353697e-01,-2.315098251015389463e-01,5.000000000000000000e-01
1.290000000000000036e+01,9.448600381598606379e-01,-3.274744391376930297e-01,5.000000000000000000e-01
1.300000000000000000e+01,9.074467814501961938e-01,-4.201670368266409161e-01,5.000000000000000000e-01
1.310000000000000142e+01,8.609666164623056561e-01,-5.086614643723752494e-01,5.000000000000000000e-01
1.320000000000000107e+01,8.058839576404497329e-01,-5.920735147072244686e-01,5.000000000000000000e-01
1.330000000000000071e+01,7.427491727036694691e-01,-6.695697621966023583e-01,5.000000000000000000e-01
1.340000000000000036e+01,6.721930835534680737e-01,-7.403758899524486292e-01,5.000000000000000000e-01
1.350000000000000000e+01,5.949206633098920172e-01,-8.037844265516209674e-01,5.000000000000000000e-01
1.360000000000000142e+01,5.117039924531474604e-01,-8.591618148564967861e-01,5.000000000000000000e-01
1.370000000000000107e+01,4.233745444506638589e-01,-9.059547423084626239e-01,5.000000000000000000e-01
1.380000000000000071e+01,3.308148779490469593e-01,-9.436956694441047677e-01,5.000000000000000000e-01
1.390000000000000036e+01,2.349498185398230798e-01,-9.720075013949759368e-01,4.999999999999999445e-01
1.400000000000000000e+01,1.367372182078336051e-01,-9.906073556948703507e-01,5.000000000000000000e-01
1.410000000000000142e+01,3.715838479082463064e-02,-9.993093887479177484e-01,5.000000000000000000e-01
1.420000000000000107e+01,-6.279172292408354006e-02,-9.980266527163615953e-01,4.999999999999999445e-01
1.430000000000000071e+01,-1.621144364997182674e-01,-9.867719642746133335e-01,5.000000000000000000e-01
1.440000000000000036e+01,-2.598173562137558457e-01,-9.656577765492774246e-01,5.000000000000000000e-01
1.450000000000000000e+01,-3.549242667887049785e-01,-9.348950555246829941e-01,4.999999999999999445e-01
1.460000000000000142e+01,-4.464848914122672152e-01,-8.947911721405034102e-01,5.000000000000000000e-01
1.470000000000000107e+01,-5.335843865891192195e-01,-8.457468311429333641e-01,5.000000000000000000e-01
1.480000000000000071e+01,-6.153524829547207808e-01,-7.882520673753162788e-01,5.000000000000000000e-01
1.490000000000000036e+01,-6.909721807191258058e-01,-7.228813495119760235e-01,5.000000000000000000e-01
1.500000000000000000e+01,-7.596879128588213126e-01,-6.502878401571168254e-01,5.000000000000000000e-01
1.510000000000000142e+01,-8.208130944926692596e-01,-5.711968696599871720e-01,5.000000000000000000e-01
1.520000000000000107e+01,-8.737369830110810476e-01,-4.863986888537981113e-01,5.000000000000000000e-01
1.530000000000000071e+01,-9.179307804142932126e-01,-3.967405731306120620e-01,5.000000000000000000e-01
1.540000000000000036e+01,-9.529529168871803124e-01,-3.031183567457022554e-01,5.000000000000000000e-01
1.550000000000000000e+01,-9.784534628188842342e-01,-2.064674819377965986e-01,5.000000000000000000e-01
1.560000000000000142e+01,-9.941776251838153611e-01,-1.077536522994422957e-01,5.000000000000000000e-01
1.570000000000000107e+01,-9.999682933493398984e-01,-7.963183785935567041e-03,5.000000000000000000e-01
1.580000000000000071e+01,-9.957676088732885233e-01,9.190685022768163570e-02,5.000000000000000000e-01
1.590000000000000036e+01,-9.816175436063844240e-01,1.908585813741893733e-01,5.000000000000001110e-01
1.600000000000000000e+01,-9.576594803233846598e-01,2.879033166650653008e-01,5.000000000000000000e-01
1.610000000000000142e+01,-9.241328000731295900e-01,3.820714171840091100e-01,5.000000000000000000e-01
1.619999999999999929e+01,-8.813724903622346396e-01,4.724219863984661649e-01,5.000000000000000000e-01
1.630000000000000071e+01,-8.298057980706491366e-01,5.580522712867793667e-01,5.000000000000001110e-01
1.640000000000000213e+01,-7.699479605420694872e-01,6.381066823479502048e-01,5.000000000000000000e-01
1.650000000000000000e+01,-7.023970575027135288e-01,7.117853423691230530e-01,5.000000000000000000e-01
1.660000000000000142e+01,-6.278280352463859737e-01,7.783520785342984416e-01,4.999999999999999445e-01
1.669999999999999929e+01,-5.469859627942356139e-01,8.371417780197467629e-01,4.999999999999998890e-01
1.680000000000000071e+01,-4.606785874113625279e-01,8.875670335815045719e-01,5.000000000000000000e-01
1.690000000000000213e+01,-3.697682638631697993e-01,9.291240127343697308e-01,5.000000000000000000e-01
1.700000000000000000e+01,-2.751633380515969285e-01,9.613974918795568092e-01,4.999999999999999445e-01
1.710000000000000142e+01,-1.778090711231156418e-01,9.840650050816434069e-01,5.000000000000000000e-01
1.719999999999999929e+01,-7.867819473184015089e-02,9.969000660415960891e-01,5.000000000000000000e-01
1.730000000000000071e+01,2.123880817364601215e-02,9.997744310730111161e-01,5.000000000000000000e-01
1.740000000000000213e+01,1.209435999284776686e-01,9.926593804706327351e-01,5.000000000000000000e-01
1.750000000000000000e+01,2.194399632114593102e-01,9.756260054681575866e-01,5.000000000000000000e-01
1.760000000000000142e+01,3.157437549192433357e-01,9.488444979181239747e-01,4.999999999999999445e-01
1.769999999999999929e+01,4.088927393988798231e-01,9.125824497911845246e-01,5.000000000000000000e-01
1.780000000000000071e+01,4.979562027884154585e-01,8.672021794855813148e-01,5.000000000000000000e-01
1.790000000000000213e+01,5.820442524021253172e-01,8.131571116614864092e-01,5.000000000000000000e-01
1.800000000000000000e+01,6.603167082440801749e-01,7.509872467716760536e-01,5.000000000000000000e-01
1.810000000000000142e+01,7.319914978089466784e-01,6.813137655554999395e-01,4.999999999999999445e-01
1.819999999999999929e+01,7.963524702919231313e-01,6.048328224062841096e-01,5.000000000000000000e-01
1.830000000000000071e+01,8.527565521308732022e-01,5.223085896267315453e-01,5.000000000000000000e-01
1.840000000000000213e+01,9.006401723847700103e-01,4.345656220718935314e-01,5.000000000000000000e-01
1.850000000000000000e+01,9.395248937482559848e-01,3.424806184696125300e-01,5.000000000000000000e-01
1.860000000000000142e+01,9.690221929390498978e-01,2.469736617366208864e-01,5.000000000000000000e-01
1.869999999999999929e+01,9.888373426941459154e-01,1.489990258141987989e-01,5.000000000000000000e-01
1.880000000000000071e+01,9.987723565872101972e-01,4.953564087836741930e-02,5.000000000000000000e-01
1.890000000000000213e+01,9.987279672435014355e-01,-5.042268780681476853e-02,4.999999999999999445e-01
1.900000000000000000e+01,9.887046181866692152e-01,-1.498772096629523431e-01,4.999999999999999445e-01
1.910000000000000142e+01,9.688024594072101037e-01,-2.478342079829598255e-01,4.999999999999999445e-01
1.920000000000000284e+01,9.392203466968696013e-01,-3.433149288198987237e-01,5.000000000000000000e-01
1.930000000000000071e+01,9.002538547473044606e-01,-4.353653603728931953e-01,5.000000000000000000e-01
1.940000000000000213e+01,8.522923238654624978e-01,-5.230657651576994249e-01,5.000000000000000000e-01
1.950000000000000000e+01,7.958149698139440620e-01,-6.055398697196010538e-01,5.000000000000000000e-01
1.960000000000000142e+01,7.313860956454967255e-01,-6.819636200681356009e-01,5.000000000000000000e-01
1.970000000000000284e+01,6.596494533734592602e-01,-7.515734153521506089e-01,4.999999999999999445e-01
1.980000000000000071e+01,5.813218118144356517e-01,-8.136737375071053657e-01,5.000000000000000000e-01
1.990000000000000213e+01,4.971857948712021802e-01,-8.676441006416690804e-01,4.999999999999999445e-01
2.000000000000000000e+01,4.080820618133919608e-01,-9.129452507276276663e-01,5.000000000000000000e-01
2.010000000000000142e+01,3.149009076879342173e-01,-9.491245536478946088e-01,5.000000000000000000e-01
2.020000000000000284e+01,2.185733677852591816e-01,-9.758205177669763142e-01,4.999999999999999445e-01
2.030000000000000071e+01,1.200619150424267340e-01,-9.927664058359071397e-01,5.000000000000000000e-01
2.040000000000000213e+01,2.035084333167943085e-02,-9.997929001426693052e-01,5.000000000000000000e-01
2.050000000000000000e+01,-7.956356727854006772e-02,-9.968297942787992527e-01,5.000000000000000000e-01
2.060000000000000142e+01,-1.786830050247345536e-01,-9.839066946186161289e-01,5.000000000000000000e-01
2.070000000000000284e+01,-2.760171012494704867e-01,-9.611527245021155297e-01,5.000000000000000000e-01
2.080000000000000071e+01,-3.705933258376414297e-01,-9.287952340772404058e-01,5.000000000000000000e-01
2.090000000000000213e+01,-4.614667044159125320e-01,-8.871575286923494286e-01,5.000000000000000000e-01
2.100000000000000000e+01,-5.477292602242683772e-01,-8.366556385360560677e-01,5.000000000000000000e-01
2.110000000000000142e+01,-6.285190863196880029e-01,-7.777941618010928426e-01,5.000000000000000000e-01
2.120000000000000284e+01,-7.030289574653885154e-01,-7.111612229059799395e-01,4.999999999999999445e-01
2.130000000000000071e+01,-7.705143956585688292e-01,-6.374225961502388849e-01,5.000000000000000000e-01
2.140000000000000213e+01,-8.303011087085271358e-01,-5.573150535176584208e-01,4.999999999999999445e-01
2.150000000000000000e+01,-8.817917275413241773e-01,-4.716390030941961520e-01,5.000000000000000000e-01
2.160000000000000142e+01,-9.244717749141216911e-01,-3.812504916549401268e-01,5.000000000000000000e-01
2.170000000000000284e+01,-9.579148059017166261e-01,-2.870526513277250613e-01,5.000000000000000000e-01
2.180000000000000071e+01,-9.817866687932766956e-01,-1.899866757954377372e-01,5.000000000000000000e-01
2.190000000000000213e+01,-9.958488438257797615e-01,-9.102241619984433041e-02,5.000000000000000000e-01
2.200000000000000000e+01,-9.999608263946371256e-01,8.851309290403876207e-03,5.000000000000000000e-01
2.210000000000000142e+01,-9.940815309292617696e-01,1.086365954240797599e-01,5.000000000000000000e-01
2.220000000000000284e+01,-9.782697014065067087e-01,2.073364206067622451e-01,5.000000000000000000e-01
2.230000000000000071e+01,-9.526833244002684831e-01,3.039646088110470323e-01,5.000000000000000000e-01
2.240000000000000213e+01,-9.175780505318598124e-01,3.975556831214361320e-01,5.000000000000000000e-01
2.250000000000000000e+01,-8.733046400935156051e-01,4.871745124605095234e-01,5.000000000000000000e-01
2.260000000000000142e+01,-8.203054583674890265e-01,5.719256551095638352e-01,5.000000000000000000e-01
2.270000000000000284e+01,-7.591100556583875170e-01,6.509623056662495744e-01,5.000000000000000000e-01
2.280000000000000071e+01,-6.903298762015724899e-01,7.234947560442449577e-01,5.000000000000000000e-01
2.290000000000000213e+01,-6.146521488144670586e-01,7.887982859754186782e-01,5.000000000000001110e-01
2.300000000000000000e+01,-5.328330203333975224e-01,8.462204041751706374e-01,5.000000000000000000e-01
2.310000000000000142e+01,-4.456900004443331564e-01,8.951873678196817785e-01,4.999999999999999445e-01
2.320000000000000284e+01,-3.540937933963556050e-01,9.352099151945402200e-01,5.000000000000000000e-01
2.330000000000000071e+01,-2.589595982126112750e-01,9.658881542360704398e-01,5.000000000000000000e-01
2.340000000000000213e+01,-1.612379643241853566e-01,9.869155581206493499e-01,5.000000000000001110e-01
2.350000000000000000e+01,-6.190529399442054603e-02,9.980820279793962690e-01,5.000000000000000000e-01
2.360000000000000142e+01,3.804591356977048144e-02,9.992759921366276554e-01,5.000000000000000000e-01
2.370000000000000284e+01,1.376169789418793254e-01,9.904855208971559133e-01,4.999999999999999445e-01
2.380000000000000071e+01,2.358130209505225894e-01,9.717984457438633150e-01,5.000000000000000000e-01
2.390000000000000213e+01,3.316528972032528055e-01,9.434014817545542941e-01,5.000000000000000000e-01
2.400000000000000000e+01,4.241790073369969827e-01,9.055783620066238937e-01,5.000000000000000000e-01
2.410000000000000142e+01,5.124668610443708916e-01,8.587070026099294928e-01,5.000000000000000000e-01
2.420000000000000284e+01,5.956343152752114900e-01,8.032557266939526208e-01,5.000000000000000000e-01
2.430000000000000071e+01,6.728503883183467593e-01,7.397785850778934025e-01,5.000000000000000000e-01
2.440000000000000213e+01,7.433435626961754084e-01,6.689098203780216023e-01,5.000000000000000000e-01
2.450000000000000000e+01,8.064094939122545824e-01,5.913575298651243539e-01,5.000000000000000000e-01
2.460000000000000142e+01,8.614180480287028097e-01,5.078965903906220714e-01,4.999999999999998890e-01
2.470000000000000284e+01,9.078195977561968055e-01,4.193609160732281183e-01,5.000000000000000000e-01
2.480000000000000071e+01,9.451505141481710837e-01,3.266351261047222287e-01,4.999999999999999445e-01
2.490000000000000213e+01,9.730377990280002498e-01,2.306457059273922250e-01,5.000000000000000000e-01
2.500000000000000000e+01,9.912028118634735874e-01,1.323517500977730299e-01,5.000000000000000000e-01
2.510000000000000142e+01,9.994640538508954286e-01,3.273537933084531837e-02,4.999999999999999445e-01
2.520000000000000284e+01,9.977389813911301530e-01,-6.720807252547847388e-02,4.999999999999999445e-01
2.530000000000000071e+01,9.860448308379632376e-01,-1.664800035371592490e-01,5.000000000000000000e-01
2.540000000000000213e+01,9.644984462781486245e-01,-2.640885213844728630e-01,5.000000000000000000e-01
2.550000000000000000e+01,9.333151120639220366e-01,-3.590583540221682912e-01,5.000000000000001110e-01
2.560000000000000142e+01,8.928064017629097071e-01,-4.504405942753892944e-01,5.000000000000000000e-01
2.570000000000000284e+01,8.433770650180411055e-01,-5.373221810064747750e-01,5.000000000000000000e-01
2.580000000000000071e+01,7.855209834229067711e-01,-6.188350221200392687e-01,5.000000000000000000e-01
2.590000000000000213e+01,7.198162358201232180e-01,-6.941646682522445433e-01,5.000000000000000000e-01
2.600000000000000000e+01,6.469193223286403560e-01,-7.625584504796026897e-01,5.000000000000000000e-01
2.610000000000000142e+01,5.675586048115438542e-01,-8.233330007380815774e-01,5.000000000000000000e-01
2.620000000000000284e+01,4.825270293251016640e-01,-8.758810798108910278e-01,5.000000000000000000e-01
2.630000000000000071e+01,3.926742032638758095e-01,-9.196776446620198442e-01,5.000000000000000000e-01
2.640000000000000213e+01,2.988979063644682244e-01,-9.542850944926980494e-01,5.000000000000000000e-01
2.650000000000000000e+01,2.021351203871819824e-01,-9.793576431039170416e-01,5.000000000000000000e-01
2.660000000000000142e+01,1.033526671039708689e-01,-9.946447738778381176e-01,5.000000000000000000e-01
2.670000000000000284e+01,3.537548134906392215e-03,-9.999937428570206954e-01,5.000000000000000000e-01
2.680000000000000071e+01,-9.631291684576058498e-02,-9.953511049115590925e-01,4.999999999999999445e-01
2.690000000000000213e+01,-1.952010549981257614e-01,-9.807632477451521114e-01,4.999999999999999445e-01
2.700000000000000000e+01,-2.921388087338361861e-01,-9.563759284045030284e-01,5.000000000000000000e-01
2.710000000000000142e+01,-3.861576080609326334e-01,-9.224328169230857632e-01,4.999999999999999445e-01
2.720000000000000284e+01,-4.763180482150183859e-01,-8.792730616507226094e-01,5.000000000000000000e-01
2.730000000000000071e+01,-5.617192758811497821e-01,-8.273279005953786402e-01,5.000000000000000000e-01
2.740000000000000213e+01,-6.415079902223856934e-01,-7.671163526355277984e-01,5.000000000000000000e-01
2.750000000000000000e+01,-7.148869687796650663e-01,-6.992400316550977379e-01,4.999999999999999445e-01
2.760000000000000142e+01,-7.811230330551143242e-01,-6.243771354163913934e-01,5.000000000000000000e-01
2.770000000000000284e+01,-8.395543741892221856e-01,-5.432756692322449066e-01,5.000000000000000000e-01
2.780000000000000071e+01,-8.895971655362083785e-01,-4.567459721441928244e-01,4.999999999999999445e-01
2.790000000000000213e+01,-9.307513960668850617e-01,-3.656526202826180239e-01,5.000000000000000000e-01
2.800000000000000000e+01,-9.626058663135665938e-01,-2.709057883078690443e-01,5.000000000000000000e-01
2.810000000000000142e+01,-9.848422969392383042e-01,-1.734521552458921090e-01,4.999999999999999445e-01
2.820000000000000284e+01,-9.972385088794740726e-01,-7.426544558435776988e-02,5.000000000000001110e-01
2.830000000000000071e+01,-9.996706432822097810e-01,2.566329986055948878e-02,5.000000000000000000e-01
2.840000000000000213e+01,-9.921143990644502031e-01,1.253356260964326452e-01,5.000000000000000000e-01
