t,lie,linear,node
1.730000000000000071e+01,1.733333714582173737e-02,3.620088535016463549e-02,1.995081808688715375e-01
1.740000000000000213e+01,1.736864116289675575e-02,3.605460571230268557e-02,1.996732443155385950e-01
1.750000000000000000e+01,1.738331900476627889e-02,3.595532547512918925e-02,1.999905675521591319e-01
1.760000000000000142e+01,1.738567668033021499e-02,3.591330870946677495e-02,2.004584239458329364e-01
1.769999999999999929e+01,1.738158820895375004e-02,3.593111907592019816e-02,2.010602391437563141e-01
1.780000000000000071e+01,1.737373227231242892e-02,3.600347953537454820e-02,2.017653814226395836e-01
1.790000000000000213e+01,1.736120596884150116e-02,3.611823962214363165e-02,2.025317568762540765e-01
1.800000000000000000e+01,1.733956405501652434e-02,3.625826256328217034e-02,2.033100822755590231e-01
1.810000000000000142e+01,1.730126471317033551e-02,3.640388988063180536e-02,2.040493330475850464e-01
1.819999999999999929e+01,1.723644066040512859e-02,3.653558279422815247e-02,2.047025380452881793e-01
1.830000000000000071e+01,1.713387477540510156e-02,3.663637261600940359e-02,2.052319484197966393e-01
1.840000000000000213e+01,1.698204999770128523e-02,3.669384061797264368e-02,2.056127109674967812e-01
1.850000000000000000e+01,1.677016032240958784e-02,3.670145004547347573e-02,2.058345008620136307e-01
1.860000000000000142e+01,1.648900237176342126e-02,3.665914173929813585e-02,2.059010122199380344e-01
1.869999999999999929e+01,1.613170353235409554e-02,3.657317208484414661e-02,2.058276328877704231e-01
1.880000000000000071e+01,1.569427474457125299e-02,3.645522492215508281e-02,2.056379249044668345e-01
1.890000000000000213e+01,1.517600017870218872e-02,3.632088049351003128e-02,2.053596344845486088e-01
1.900000000000000000e+01,1.457969225350515263e-02,3.618758560752193681e-02,2.050208783730471385e-01
1.910000000000000142e+01,1.391185049078741409e-02,3.607234160104003107e-02,2.046469718024980511e-01
1.920000000000000284e+01,1.318276812560759126e-02,3.598939755131663060e-02,2.042581752258145478e-01
1.930000000000000071e+01,1.240663107946396622e-02,3.594827994876072241e-02,2.038685138060851720e-01
1.940000000000000213e+01,1.160164579376523654e-02,3.595247605675109398e-02,2.034857749585182729e-01
1.950000000000000000e+01,1.079020414787110367e-02,3.599899995972224293e-02,2.031127594865434483e-01
1.960000000000000142e+01,9.999021021291291944e-03,3.607891820777154451e-02,2.027497692951285846e-01
1.970000000000000284e+01,9.259023690334839546e-03,3.617873596121080199e-02,2.023981057068979794e-01
1.980000000000000071e+01,8.604499089205982706e-03,3.628239737832129885e-02,2.020640439470327010e-01
1.990000000000000213e+01,8.070685735010537862e-03,3.637357316070253394e-02,2.017624365241394990e-01
2.000000000000000000e+01,7.689009380770224500e-03,3.643790251882453313e-02,2.015189179379508477e-01
2.010000000000000142e+01,7.480222727449978640e-03,3.646490717105288493e-02,2.013697601220757472e-01
2.020000000000000284e+01,7.447957078210434498e-03,3.644937117894243156e-02,2.013588195763893474e-01
2.030000000000000071e+01,7.576624547735209304e-03,3.639205711088669415e-02,2.015316777036479101e-01
